tag,episode,step,reward,throughput,normalized_throughput,timeout_rate,ip4-input,ip6-input,nat44-ed-in2out,nat44-ed-in2out-slowpath,arp-input,ip4-receive,ip4-mfib-forward-lookup,loop0-output,arp_loss_rate,icmp_loss_rate,igmpv2_loss_rate,host_packet_loss_rate
_fixed_all_64,2070,3,-5.2092065604461055,3531101,0.504443,0.005445059441764301,64,64,64,64,64,64,64,64,0,0.7717921274824593,0.749702876158783,0.7639648205371999
_fixed_all_64,2070,4,-5.295324485913894,3359333,0.4799047142857143,0.005477126518942102,64,64,64,64,64,64,64,64,0,0.7747827182264769,0.7626673339171776,0.772641627936189
_fixed_all_64,2070,5,-4.175673345809218,4844200,0.6920285714285714,0.004633409795648638,64,64,64,64,64,64,64,64,0,0.6538561637893641,0.6450073739914982,0.6482172291142535
_fixed_all_64,2070,6,-4.060265921893496,5100082,0.7285831428571429,0.00449561667952923,64,64,64,64,64,64,64,64,0.6319832985386221,0,0.6398329853862212,0.6437233419754119
_fixed_all_64,2070,7,-4.175060583871801,4915706,0.7022437142857143,0.004568041378965276,64,64,64,64,64,64,64,64,0.6479805013927576,0,0.6497475187184398,0.6531936991518089
_fixed_all_64,2070,8,-4.081712815462921,5063273,0.7233247142857143,0.0045538101604278075,64,64,64,64,64,64,64,64,0.6364998751144784,0,0.6368258731349504,0.648689263650025
_fixed_all_64,2070,9,-4.127024404749506,4992003,0.7131432857142858,0.00460091717655186,64,64,64,64,64,64,64,64,0.639751552795031,0,0.6402161067026845,0.6560994166878011
_fixed_all_64,2070,10,-4.1476184389619855,4988524,0.7126462857142857,0.004563901552488911,64,64,64,64,64,64,64,64,0.6513101558486042,0,0.6449300102424036,0.6478657237795007
_fixed_all_64,2070,11,-4.12462119021068,5066726,0.723818,0.004555140090396578,64,64,64,64,64,64,64,64,0.6410364263481114,0.646910678307589,0,0.6514285714285715
_fixed_all_64,2070,12,-4.031221689391845,5095678,0.727954,0.00455804562343177,64,64,64,64,64,64,64,64,0.6268730041758782,0.6402099048868481,0,0.6365873666940115
_fixed_all_64,2070,13,-5.044946871659035,3724778.0000000005,0.5321111428571429,0.005173253433703117,64,64,64,64,64,64,64,64,0.7337797275456015,0.7502608695652174,0,0.7467826086956522
_fixed_all_64,2070,14,-4.962669636611002,3770684,0.5386691428571428,0.00517635833880499,64,64,64,64,64,64,64,64,0.7245772266065389,0.7311283608954888,0,0.74482992428523
_fixed_all_64,2070,15,-4.07544708769401,5110204,0.7300291428571428,0.004569575471698113,64,64,64,64,64,64,64,64,0.6321243523316062,0.6464438590714521,0,0.6436222808174028
_fixed_all_64,2070,16,-4.451574280069217,4462895,0.6375564285714286,0.004868782651284284,64,64,64,64,64,64,64,64,0.6765698219306466,0.6878406314602519,0.6712418300653594,0
_fixed_all_64,2070,17,-5.021870892205478,3659631.0000000005,0.5228044285714286,0.005172052913596785,64,64,64,64,64,64,64,64,0.7318475073313783,0.7443108880849574,0.7417117328944275,0
_fixed_all_64,2070,18,-4.0938744028036815,5066429,0.7237755714285714,0.004530763760575708,64,64,64,64,64,64,64,64,0.6404135496343616,0.6478625314333613,0.6387839086251784,0
_fixed_all_64,2070,19,-4.10143308291808,5034059,0.7191512857142857,0.0045671549701886425,64,64,64,64,64,64,64,64,0.6366159280127828,0.6470243575793087,0.644593461860855,0
_fixed_all_64,2070,20,-5.036167840622178,3439661,0.4913801428571429,0.005280464734437464,64,64,64,64,64,64,64,64,0.7392735251097026,0.7355261560869037,0.7362195121951219,0
_fixed_all_64,2070,21,0.43241088557400226,3583533.0000000005,0.5119332857142858,0.00037551854772353263,64,64,64,64,64,64,64,64,0.002936301207672271,0.011888973095869648,0.00589600303087706,0.011087682721694426
_fixed_all_64,2070,22,0.2842946028940775,3178432,0.4540617142857143,0.0007963020509633312,64,64,64,64,64,64,64,64,0.004749637739494445,0.02775764409009154,0.009362090240892752,0.02603747248617598
_fixed_all_64,2070,23,-0.008582143058123382,2925626,0.41794657142857145,0.0019919244528619528,64,64,64,64,64,64,64,64,0.02790070630989713,0.05354685715958662,0.03798247413616248,0.05118144818903171
_fixed_all_64,2070,24,0.6832750014377276,4798538,0.6855054285714286,0.000010775311606048222,64,64,64,64,64,64,64,64,0.00023202270252904746,0.00026758955330383904,0.00016063110175087902,0.0002319274958966674
_fixed_all_128,2074,1,-5.514068527276138,3765482,0.537926,0.005739899895656711,128,128,128,128,128,128,128,128,0,0.8086654724585759,0.7993944830679525,0.8127378553839266
_fixed_all_128,2074,2,-5.709107568221688,3049402,0.43562885714285715,0.005763793866709594,128,128,128,128,128,128,128,128,0,0.8284993694829761,0.8043145441892833,0.8250806564735587
_fixed_all_128,2074,3,-5.602851044865672,3823704.9999999995,0.5462435714285714,0.005680953715566944,128,128,128,128,128,128,128,128,0,0.8249745273406544,0.8096208262591964,0.825042492917847
_fixed_all_128,2074,4,-5.40107654246906,4831911,0.690273,0.00572977437601461,128,128,128,128,128,128,128,128,0,0.8152557319223986,0.8038370148728329,0.8174470701923922
_fixed_all_128,2074,5,-5.4213202815444665,4742503,0.6775004285714286,0.005839861854979916,128,128,128,128,128,128,128,128,0,0.8166050360979046,0.804781576865606,0.8181416710828475
_fixed_all_128,2074,6,-5.379048836914083,4452802,0.6361145714285714,0.005745246741411687,128,128,128,128,128,128,128,128,0.7952852428099952,0,0.8014664410603497,0.8093136794667167
_fixed_all_128,2074,7,-5.311007781466557,5218612,0.745516,0.00571587109080633,128,128,128,128,128,128,128,128,0.801477752517051,0,0.8066845136691815,0.8144472464003905
_fixed_all_128,2074,8,-5.464241995601675,4292862,0.613266,0.005663951337507115,128,128,128,128,128,128,128,128,0.8040175894463322,0,0.8077652460325382,0.8192203627617998
_fixed_all_128,2074,9,-5.256979430715592,5228334,0.7469048571428571,0.005666890986458529,128,128,128,128,128,128,128,128,0.7957181088314005,0,0.8010208215182695,0.8048147847937099
_fixed_all_128,2074,10,-5.299728938017216,5221987,0.7459981428571428,0.005687647405660377,128,128,128,128,128,128,128,128,0.797668541615717,0,0.8046379170056956,0.8159843737283308
_fixed_all_128,2074,11,-5.313258060942135,5205467,0.7436381428571428,0.0057256145211707875,128,128,128,128,128,128,128,128,0.7992700729927007,0.8121645796064401,0,0.8113238289205703
_fixed_all_128,2074,12,-5.432613595273029,4355350,0.6221928571428571,0.005710592766053493,128,128,128,128,128,128,128,128,0.795006826604252,0.8134502923976609,0,0.8134654619644418
